Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
 2386752 |  2.75e-05 |     -- |  1.23e+00 |  1.70e+00 |     -- |  3.83e+00 |  7.21e+00
 2412416 |  2.70e-05 |     -- |  1.26e+00 |  1.72e+00 |     -- |  3.81e+00 |  7.14e+00
 2438080 |  2.86e-05 |     -- |  1.27e+00 |  1.78e+00 |     -- |  3.89e+00 |  7.34e+00
 2463744 |  2.69e-05 |     -- |  1.27e+00 |  1.77e+00 |     -- |  3.80e+00 |  7.12e+00
 2489408 |  2.96e-05 |     -- |  1.43e+00 |  1.98e+00 |     -- |  3.92e+00 |  7.42e+00
 2515072 |  2.77e-05 |     -- |  1.36e+00 |  1.90e+00 |     -- |  3.80e+00 |  7.17e+00
 2540736 |  2.99e-05 |     -- |  1.34e+00 |  1.92e+00 |     -- |  3.90e+00 |  7.46e+00
 2566400 |  2.69e-05 |     -- |  1.31e+00 |  1.83e+00 |     -- |  3.79e+00 |  7.10e+00
 2592064 |  2.43e-05 |     -- |  1.19e+00 |  1.63e+00 |     -- |  3.64e+00 |  6.77e+00
 2617728 |  2.66e-05 |     -- |  1.29e+00 |  1.76e+00 |     -- |  3.76e+00 |  7.07e+00
 2643392 |  2.55e-05 |     -- |  1.21e+00 |  1.65e+00 |     -- |  3.71e+00 |  6.94e+00
 2669056 |  2.66e-05 |     -- |  1.30e+00 |  1.79e+00 |     -- |  3.78e+00 |  7.05e+00
 2694720 |  2.44e-05 |     -- |  1.22e+00 |  1.66e+00 |     -- |  3.62e+00 |  6.78e+00
 2720384 |  2.71e-05 |     -- |  1.26e+00 |  1.80e+00 |     -- |  3.77e+00 |  7.13e+00
 2746048 |  2.38e-05 |     -- |  1.17e+00 |  1.60e+00 |     -- |  3.59e+00 |  6.71e+00
 2771712 |  2.48e-05 |     -- |  1.32e+00 |  1.81e+00 |     -- |  3.66e+00 |  6.81e+00
 2797376 |  2.35e-05 |     -- |  1.11e+00 |  1.52e+00 |     -- |  3.61e+00 |  6.69e+00
 2823040 |  2.72e-05 |     -- |  1.40e+00 |  1.90e+00 |     -- |  3.80e+00 |  7.11e+00
 2848704 |  2.52e-05 |     -- |  1.27e+00 |  1.78e+00 |     -- |  3.63e+00 |  6.85e+00
 2874368 |  2.37e-05 |     -- |  1.18e+00 |  1.67e+00 |     -- |  3.57e+00 |  6.67e+00
 2900032 |  2.41e-05 |     -- |  1.21e+00 |  1.68e+00 |     -- |  3.62e+00 |  6.73e+00
 2925696 |  2.39e-05 |     -- |  1.17e+00 |  1.63e+00 |     -- |  3.63e+00 |  6.72e+00
 2951360 |  2.37e-05 |     -- |  1.25e+00 |  1.71e+00 |     -- |  3.60e+00 |  6.67e+00
 2977024 |  2.28e-05 |     -- |  1.15e+00 |  1.57e+00 |     -- |  3.53e+00 |  6.57e+00
 3002688 |  2.33e-05 |     -- |  1.24e+00 |  1.69e+00 |     -- |  3.55e+00 |  6.60e+00
 3028352 |  2.40e-05 |     -- |  1.31e+00 |  1.80e+00 |     -- |  3.60e+00 |  6.68e+00
 3054016 |  2.16e-05 |     -- |  1.11e+00 |  1.52e+00 |     -- |  3.46e+00 |  6.39e+00
 3079680 |  2.20e-05 |     -- |  1.13e+00 |  1.55e+00 |     -- |  3.50e+00 |  6.44e+00
 3105344 |  2.26e-05 |     -- |  1.23e+00 |  1.71e+00 |     -- |  3.51e+00 |  6.48e+00
 3131008 |  2.21e-05 |     -- |  1.18e+00 |  1.62e+00 |     -- |  3.50e+00 |  6.44e+00
 3156672 |  2.28e-05 |     -- |  1.10e+00 |  1.53e+00 |     -- |  3.56e+00 |  6.56e+00
 3182336 |  2.19e-05 |     -- |  1.21e+00 |  1.73e+00 |     -- |  3.44e+00 |  6.38e+00
 3208000 |  2.16e-05 |     -- |  1.09e+00 |  1.52e+00 |     -- |  3.45e+00 |  6.39e+00
 3233664 |  2.13e-05 |     -- |  1.13e+00 |  1.54e+00 |     -- |  3.44e+00 |  6.34e+00
 3259328 |  2.33e-05 |     -- |  1.26e+00 |  1.73e+00 |     -- |  3.57e+00 |  6.58e+00
 3284992 |  2.22e-05 |     -- |  1.10e+00 |  1.51e+00 |     -- |  3.47e+00 |  6.49e+00
 3310656 |  2.21e-05 |     -- |  1.17e+00 |  1.62e+00 |     -- |  3.49e+00 |  6.45e+00
 3336320 |  2.17e-05 |     -- |  1.10e+00 |  1.52e+00 |     -- |  3.48e+00 |  6.40e+00
 3361984 |  2.11e-05 |     -- |  1.10e+00 |  1.52e+00 |     -- |  3.40e+00 |  6.30e+00
 3387648 |  2.01e-05 |     -- |  1.01e+00 |  1.40e+00 |     -- |  3.37e+00 |  6.18e+00
 3413312 |  2.16e-05 |     -- |  1.11e+00 |  1.58e+00 |     -- |  3.44e+00 |  6.37e+00
 3438976 |  2.11e-05 |     -- |  1.16e+00 |  1.58e+00 |     -- |  3.40e+00 |  6.29e+00
 3464640 |  2.06e-05 |     -- |  1.11e+00 |  1.54e+00 |     -- |  3.37e+00 |  6.23e+00
 3490304 |  2.22e-05 |     -- |  1.16e+00 |  1.62e+00 |     -- |  3.47e+00 |  6.45e+00
 3515968 |  1.89e-05 |     -- |  1.05e+00 |  1.44e+00 |     -- |  3.26e+00 |  5.98e+00
 3541632 |  2.06e-05 |     -- |  1.21e+00 |  1.67e+00 |     -- |  3.38e+00 |  6.19e+00
 3567296 |  1.97e-05 |     -- |  1.12e+00 |  1.53e+00 |     -- |  3.30e+00 |  6.08e+00
 3592960 |  2.04e-05 |     -- |  1.17e+00 |  1.60e+00 |     -- |  3.34e+00 |  6.18e+00
 3618624 |  1.90e-05 |     -- |  1.04e+00 |  1.42e+00 |     -- |  3.27e+00 |  5.99e+00
 3644288 |  2.07e-05 |     -- |  1.15e+00 |  1.57e+00 |     -- |  3.37e+00 |  6.22e+00
 3669952 |  1.93e-05 |     -- |  1.08e+00 |  1.48e+00 |     -- |  3.30e+00 |  6.03e+00
 3695616 |  2.09e-05 |     -- |  1.12e+00 |  1.56e+00 |     -- |  3.38e+00 |  6.26e+00
 3721280 |  1.85e-05 |     -- |  1.02e+00 |  1.41e+00 |     -- |  3.24e+00 |  5.92e+00
 3746944 |  1.97e-05 |     -- |  1.08e+00 |  1.50e+00 |     -- |  3.30e+00 |  6.08e+00
 3772608 |  1.98e-05 |     -- |  1.07e+00 |  1.53e+00 |     -- |  3.29e+00 |  6.10e+00
 3798272 |  1.90e-05 |     -- |  1.08e+00 |  1.55e+00 |     -- |  3.23e+00 |  5.96e+00
 3823936 |  1.85e-05 |     -- |  9.67e-01 |  1.34e+00 |     -- |  3.23e+00 |  5.93e+00
 3849600 |  1.94e-05 |     -- |  1.10e+00 |  1.51e+00 |     -- |  3.28e+00 |  6.03e+00
 3875264 |  1.88e-05 |     -- |  1.07e+00 |  1.48e+00 |     -- |  3.25e+00 |  5.95e+00
 3900928 |  1.86e-05 |     -- |  1.09e+00 |  1.48e+00 |     -- |  3.22e+00 |  5.91e+00
 3926592 |  1.85e-05 |     -- |  1.08e+00 |  1.51e+00 |     -- |  3.22e+00 |  5.89e+00
 3952256 |  1.83e-05 |     -- |  1.01e+00 |  1.38e+00 |     -- |  3.24e+00 |  5.89e+00
 3977920 |  1.89e-05 |     -- |  1.05e+00 |  1.44e+00 |     -- |  3.25e+00 |  5.98e+00
 4003584 |  1.83e-05 |     -- |  1.00e+00 |  1.36e+00 |     -- |  3.22e+00 |  5.90e+00
 4029248 |  1.95e-05 |     -- |  1.15e+00 |  1.59e+00 |     -- |  3.27e+00 |  6.03e+00
 4054912 |  1.80e-05 |     -- |  1.05e+00 |  1.46e+00 |     -- |  3.18e+00 |  5.82e+00
 4080576 |  1.96e-05 |     -- |  1.09e+00 |  1.55e+00 |     -- |  3.25e+00 |  6.06e+00
 4106240 |  1.65e-05 |     -- |  9.30e-01 |  1.29e+00 |     -- |  3.08e+00 |  5.59e+00
 4131904 |  1.81e-05 |     -- |  1.12e+00 |  1.53e+00 |     -- |  3.18e+00 |  5.81e+00
 4157568 |  1.78e-05 |     -- |  9.52e-01 |  1.34e+00 |     -- |  3.16e+00 |  5.81e+00
 4183232 |  1.80e-05 |     -- |  9.94e-01 |  1.35e+00 |     -- |  3.19e+00 |  5.85e+00
 4208896 |  1.70e-05 |     -- |  9.48e-01 |  1.28e+00 |     -- |  3.12e+00 |  5.68e+00
 4234560 |  1.92e-05 |     -- |  1.11e+00 |  1.58e+00 |     -- |  3.25e+00 |  5.98e+00
 4260224 |  1.77e-05 |     -- |  1.05e+00 |  1.45e+00 |     -- |  3.13e+00 |  5.76e+00
 4285888 |  1.74e-05 |     -- |  1.04e+00 |  1.46e+00 |     -- |  3.13e+00 |  5.72e+00
 4311552 |  1.70e-05 |     -- |  1.01e+00 |  1.41e+00 |     -- |  3.13e+00 |  5.66e+00
 4337216 |  1.78e-05 |     -- |  9.77e-01 |  1.36e+00 |     -- |  3.17e+00 |  5.80e+00
 4362880 |  1.65e-05 |     -- |  9.60e-01 |  1.35e+00 |     -- |  3.08e+00 |  5.59e+00
 4388544 |  1.75e-05 |     -- |  9.70e-01 |  1.35e+00 |     -- |  3.15e+00 |  5.75e+00
 4414208 |  1.70e-05 |     -- |  1.05e+00 |  1.43e+00 |     -- |  3.11e+00 |  5.65e+00
 4439872 |  1.65e-05 |     -- |  9.22e-01 |  1.31e+00 |     -- |  3.06e+00 |  5.59e+00
 4465536 |  1.72e-05 |     -- |  9.84e-01 |  1.36e+00 |     -- |  3.13e+00 |  5.69e+00
 4491200 |  1.60e-05 |     -- |  9.65e-01 |  1.32e+00 |     -- |  3.04e+00 |  5.50e+00
 4516864 |  1.69e-05 |     -- |  1.01e+00 |  1.43e+00 |     -- |  3.11e+00 |  5.63e+00
 4542528 |  1.57e-05 |     -- |  8.89e-01 |  1.25e+00 |     -- |  3.00e+00 |  5.46e+00
 4568192 |  1.68e-05 |     -- |  9.76e-01 |  1.36e+00 |     -- |  3.08e+00 |  5.64e+00
 4593856 |  1.64e-05 |     -- |  9.69e-01 |  1.33e+00 |     -- |  3.06e+00 |  5.57e+00
 4619520 |  1.69e-05 |     -- |  1.00e+00 |  1.40e+00 |     -- |  3.08e+00 |  5.64e+00
 4645184 |  1.69e-05 |     -- |  1.01e+00 |  1.41e+00 |     -- |  3.09e+00 |  5.63e+00
 4670848 |  1.65e-05 |     -- |  9.64e-01 |  1.34e+00 |     -- |  3.06e+00 |  5.58e+00
