Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  288360 |  8.86e-04 |     -- |  6.41e+00 |  8.22e+00 |     -- |  2.70e+01 |  4.13e+01
  292365 |  8.47e-04 |     -- |  7.15e+00 |  8.92e+00 |     -- |  2.64e+01 |  4.02e+01
  296370 |  8.69e-04 |     -- |  7.79e+00 |  9.99e+00 |     -- |  2.67e+01 |  4.05e+01
  300375 |  8.76e-04 |     -- |  6.79e+00 |  8.52e+00 |     -- |  2.70e+01 |  4.10e+01
  304380 |  8.23e-04 |     -- |  7.20e+00 |  9.11e+00 |     -- |  2.58e+01 |  3.95e+01
  308385 |  8.68e-04 |     -- |  6.88e+00 |  8.65e+00 |     -- |  2.68e+01 |  4.08e+01
  312390 |  8.48e-04 |     -- |  7.49e+00 |  9.66e+00 |     -- |  2.65e+01 |  4.00e+01
  316395 |  8.34e-04 |     -- |  6.36e+00 |  8.09e+00 |     -- |  2.61e+01 |  4.00e+01
  320400 |  8.54e-04 |     -- |  8.03e+00 |  9.96e+00 |     -- |  2.65e+01 |  4.01e+01
  324405 |  8.21e-04 |     -- |  6.63e+00 |  8.29e+00 |     -- |  2.61e+01 |  3.97e+01
  328410 |  9.10e-04 |     -- |  8.47e+00 |  1.08e+01 |     -- |  2.70e+01 |  4.13e+01
  332415 |  9.00e-04 |     -- |  8.80e+00 |  1.11e+01 |     -- |  2.69e+01 |  4.09e+01
  336420 |  8.08e-04 |     -- |  6.39e+00 |  8.36e+00 |     -- |  2.61e+01 |  3.93e+01
  340425 |  8.46e-04 |     -- |  6.54e+00 |  8.90e+00 |     -- |  2.62e+01 |  4.02e+01
  344430 |  7.93e-04 |     -- |  6.34e+00 |  8.44e+00 |     -- |  2.56e+01 |  3.89e+01
  348435 |  7.79e-04 |     -- |  6.26e+00 |  7.81e+00 |     -- |  2.55e+01 |  3.87e+01
  352440 |  8.05e-04 |     -- |  7.12e+00 |  9.20e+00 |     -- |  2.58e+01 |  3.91e+01
  356445 |  8.03e-04 |     -- |  7.14e+00 |  9.17e+00 |     -- |  2.55e+01 |  3.90e+01
  360450 |  8.25e-04 |     -- |  6.74e+00 |  8.90e+00 |     -- |  2.62e+01 |  3.96e+01
  364455 |  7.84e-04 |     -- |  6.15e+00 |  8.12e+00 |     -- |  2.55e+01 |  3.87e+01
  368460 |  7.69e-04 |     -- |  7.00e+00 |  9.06e+00 |     -- |  2.53e+01 |  3.82e+01
  372465 |  7.99e-04 |     -- |  6.60e+00 |  8.31e+00 |     -- |  2.59e+01 |  3.91e+01
  376470 |  7.77e-04 |     -- |  6.30e+00 |  8.28e+00 |     -- |  2.53e+01 |  3.85e+01
  380475 |  7.30e-04 |     -- |  7.55e+00 |  9.85e+00 |     -- |  2.43e+01 |  3.69e+01
  384480 |  7.57e-04 |     -- |  6.67e+00 |  8.84e+00 |     -- |  2.48e+01 |  3.79e+01
  388485 |  6.73e-04 |     -- |  6.97e+00 |  8.93e+00 |     -- |  2.38e+01 |  3.56e+01
  392490 |  7.81e-04 |     -- |  6.48e+00 |  8.32e+00 |     -- |  2.52e+01 |  3.86e+01
  396495 |  7.32e-04 |     -- |  6.07e+00 |  7.98e+00 |     -- |  2.50e+01 |  3.74e+01
  400500 |  7.54e-04 |     -- |  7.22e+00 |  8.94e+00 |     -- |  2.50e+01 |  3.78e+01
  404505 |  8.15e-04 |     -- |  6.88e+00 |  8.91e+00 |     -- |  2.57e+01 |  3.94e+01
  408510 |  7.06e-04 |     -- |  8.38e+00 |  1.09e+01 |     -- |  2.41e+01 |  3.60e+01
  412515 |  7.49e-04 |     -- |  8.26e+00 |  1.07e+01 |     -- |  2.49e+01 |  3.72e+01
  416520 |  6.93e-04 |     -- |  6.54e+00 |  8.59e+00 |     -- |  2.41e+01 |  3.62e+01
  420525 |  7.18e-04 |     -- |  7.44e+00 |  9.45e+00 |     -- |  2.46e+01 |  3.67e+01
  424530 |  7.61e-04 |     -- |  7.76e+00 |  1.02e+01 |     -- |  2.49e+01 |  3.77e+01
  428535 |  7.19e-04 |     -- |  5.68e+00 |  7.51e+00 |     -- |  2.45e+01 |  3.72e+01
  432540 |  7.30e-04 |     -- |  8.20e+00 |  1.03e+01 |     -- |  2.45e+01 |  3.68e+01
  436545 |  7.04e-04 |     -- |  7.42e+00 |  9.73e+00 |     -- |  2.40e+01 |  3.62e+01
  440550 |  7.32e-04 |     -- |  6.75e+00 |  8.95e+00 |     -- |  2.45e+01 |  3.72e+01
  444555 |  6.73e-04 |     -- |  6.78e+00 |  8.99e+00 |     -- |  2.40e+01 |  3.56e+01
  448560 |  7.44e-04 |     -- |  7.12e+00 |  9.38e+00 |     -- |  2.47e+01 |  3.74e+01
  452565 |  6.95e-04 |     -- |  6.65e+00 |  8.47e+00 |     -- |  2.39e+01 |  3.63e+01
  456570 |  7.48e-04 |     -- |  6.51e+00 |  8.36e+00 |     -- |  2.45e+01 |  3.78e+01
  460575 |  7.25e-04 |     -- |  7.41e+00 |  9.59e+00 |     -- |  2.43e+01 |  3.68e+01
  464580 |  6.84e-04 |     -- |  6.10e+00 |  7.91e+00 |     -- |  2.40e+01 |  3.61e+01
  468585 |  6.84e-04 |     -- |  6.55e+00 |  8.26e+00 |     -- |  2.41e+01 |  3.61e+01
  472590 |  7.08e-04 |     -- |  7.27e+00 |  9.05e+00 |     -- |  2.42e+01 |  3.65e+01
  476595 |  6.73e-04 |     -- |  7.12e+00 |  9.13e+00 |     -- |  2.37e+01 |  3.55e+01
  480600 |  6.57e-04 |     -- |  6.52e+00 |  8.38e+00 |     -- |  2.34e+01 |  3.53e+01
  484605 |  6.55e-04 |     -- |  7.05e+00 |  9.10e+00 |     -- |  2.33e+01 |  3.50e+01
  488610 |  6.54e-04 |     -- |  6.47e+00 |  8.25e+00 |     -- |  2.35e+01 |  3.52e+01
  492615 |  6.26e-04 |     -- |  6.77e+00 |  8.75e+00 |     -- |  2.26e+01 |  3.43e+01
  496620 |  6.44e-04 |     -- |  6.50e+00 |  8.50e+00 |     -- |  2.32e+01 |  3.49e+01
  500625 |  1.42e-03 |     -- |  4.65e+00 |  6.05e+00 |     -- |  2.68e+01 |  5.30e+01
  504630 |  5.01e-04 |     -- |  4.96e+00 |  6.54e+00 |     -- |  2.05e+01 |  3.10e+01
  508635 |  4.79e-04 |     -- |  5.25e+00 |  6.82e+00 |     -- |  2.01e+01 |  3.02e+01
  512640 |  4.56e-04 |     -- |  4.43e+00 |  5.97e+00 |     -- |  2.01e+01 |  2.96e+01
