Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  500625 |  1.77e-03 |     -- |  8.13e+00 |  1.01e+01 |     -- |  4.02e+01 |  5.86e+01
  504630 |  1.76e-03 |     -- |  8.02e+00 |  1.03e+01 |     -- |  4.01e+01 |  5.84e+01
  508635 |  1.70e-03 |     -- |  8.54e+00 |  1.06e+01 |     -- |  3.96e+01 |  5.73e+01
  512640 |  1.66e-03 |     -- |  8.11e+00 |  1.01e+01 |     -- |  3.90e+01 |  5.67e+01
  516645 |  1.69e-03 |     -- |  7.86e+00 |  1.00e+01 |     -- |  3.94e+01 |  5.73e+01
  520650 |  1.62e-03 |     -- |  7.10e+00 |  9.30e+00 |     -- |  3.87e+01 |  5.62e+01
  524655 |  1.72e-03 |     -- |  8.54e+00 |  1.06e+01 |     -- |  3.97e+01 |  5.77e+01
  528660 |  1.70e-03 |     -- |  8.58e+00 |  1.11e+01 |     -- |  3.94e+01 |  5.72e+01
  532665 |  1.62e-03 |     -- |  8.14e+00 |  1.03e+01 |     -- |  3.88e+01 |  5.60e+01
  536670 |  1.62e-03 |     -- |  7.18e+00 |  9.13e+00 |     -- |  3.90e+01 |  5.62e+01
  540675 |  1.58e-03 |     -- |  8.07e+00 |  1.02e+01 |     -- |  3.83e+01 |  5.54e+01
  544680 |  1.62e-03 |     -- |  7.39e+00 |  9.44e+00 |     -- |  3.87e+01 |  5.61e+01
  548685 |  1.63e-03 |     -- |  8.12e+00 |  1.03e+01 |     -- |  3.87e+01 |  5.61e+01
  552690 |  1.62e-03 |     -- |  8.29e+00 |  1.07e+01 |     -- |  3.86e+01 |  5.59e+01
  556695 |  1.59e-03 |     -- |  7.92e+00 |  1.03e+01 |     -- |  3.83e+01 |  5.54e+01
  560700 |  1.74e-03 |     -- |  7.36e+00 |  9.60e+00 |     -- |  3.99e+01 |  5.83e+01
  564705 |  1.56e-03 |     -- |  7.89e+00 |  1.01e+01 |     -- |  3.79e+01 |  5.49e+01
  568710 |  1.48e-03 |     -- |  8.19e+00 |  1.01e+01 |     -- |  3.74e+01 |  5.35e+01
  572715 |  1.52e-03 |     -- |  8.99e+00 |  1.12e+01 |     -- |  3.76e+01 |  5.40e+01
  576720 |  1.57e-03 |     -- |  8.48e+00 |  1.05e+01 |     -- |  3.81e+01 |  5.51e+01
  580725 |  1.53e-03 |     -- |  7.25e+00 |  9.49e+00 |     -- |  3.77e+01 |  5.45e+01
  584730 |  1.49e-03 |     -- |  8.80e+00 |  1.08e+01 |     -- |  3.72e+01 |  5.35e+01
  588735 |  1.48e-03 |     -- |  7.89e+00 |  1.00e+01 |     -- |  3.72e+01 |  5.34e+01
  592740 |  1.50e-03 |     -- |  7.78e+00 |  9.87e+00 |     -- |  3.75e+01 |  5.38e+01
  596745 |  1.56e-03 |     -- |  7.47e+00 |  9.66e+00 |     -- |  3.80e+01 |  5.50e+01
  600750 |  1.43e-03 |     -- |  7.32e+00 |  9.54e+00 |     -- |  3.66e+01 |  5.25e+01
  604755 |  1.41e-03 |     -- |  8.68e+00 |  1.12e+01 |     -- |  3.63e+01 |  5.20e+01
  608760 |  1.40e-03 |     -- |  7.40e+00 |  9.64e+00 |     -- |  3.64e+01 |  5.20e+01
  612765 |  1.45e-03 |     -- |  7.75e+00 |  1.02e+01 |     -- |  3.69e+01 |  5.29e+01
  616770 |  1.41e-03 |     -- |  7.19e+00 |  9.24e+00 |     -- |  3.63e+01 |  5.23e+01
  620775 |  1.44e-03 |     -- |  8.09e+00 |  1.02e+01 |     -- |  3.68e+01 |  5.28e+01
  624780 |  1.40e-03 |     -- |  9.00e+00 |  1.13e+01 |     -- |  3.61e+01 |  5.17e+01
  628785 |  1.40e-03 |     -- |  8.05e+00 |  9.99e+00 |     -- |  3.63e+01 |  5.20e+01
  632790 |  1.39e-03 |     -- |  6.50e+00 |  8.58e+00 |     -- |  3.62e+01 |  5.20e+01
  636795 |  1.39e-03 |     -- |  7.51e+00 |  9.60e+00 |     -- |  3.61e+01 |  5.19e+01
  640800 |  1.35e-03 |     -- |  7.68e+00 |  9.91e+00 |     -- |  3.59e+01 |  5.11e+01
  644805 |  1.36e-03 |     -- |  7.20e+00 |  9.25e+00 |     -- |  3.60e+01 |  5.12e+01
  648810 |  1.35e-03 |     -- |  6.95e+00 |  8.99e+00 |     -- |  3.61e+01 |  5.12e+01
  652815 |  1.32e-03 |     -- |  7.25e+00 |  9.40e+00 |     -- |  3.54e+01 |  5.04e+01
  656820 |  1.31e-03 |     -- |  7.04e+00 |  9.05e+00 |     -- |  3.56e+01 |  5.04e+01
  660825 |  1.32e-03 |     -- |  7.60e+00 |  9.66e+00 |     -- |  3.53e+01 |  5.04e+01
  664830 |  1.36e-03 |     -- |  8.02e+00 |  1.00e+01 |     -- |  3.59e+01 |  5.12e+01
  668835 |  1.31e-03 |     -- |  8.54e+00 |  1.06e+01 |     -- |  3.54e+01 |  5.01e+01
  672840 |  1.26e-03 |     -- |  8.04e+00 |  1.02e+01 |     -- |  3.45e+01 |  4.91e+01
  676845 |  1.29e-03 |     -- |  7.80e+00 |  9.66e+00 |     -- |  3.52e+01 |  4.99e+01
  680850 |  1.21e-03 |     -- |  7.90e+00 |  1.00e+01 |     -- |  3.42e+01 |  4.82e+01
  684855 |  1.27e-03 |     -- |  6.58e+00 |  8.68e+00 |     -- |  3.50e+01 |  4.97e+01
  688860 |  1.24e-03 |     -- |  7.13e+00 |  9.05e+00 |     -- |  3.46e+01 |  4.90e+01
  692865 |  1.30e-03 |     -- |  7.80e+00 |  1.00e+01 |     -- |  3.50e+01 |  4.99e+01
  696870 |  1.27e-03 |     -- |  7.98e+00 |  1.02e+01 |     -- |  3.47e+01 |  4.94e+01
  700875 |  1.21e-03 |     -- |  7.75e+00 |  1.01e+01 |     -- |  3.41e+01 |  4.82e+01
  704880 |  1.35e-03 |     -- |  7.35e+00 |  9.28e+00 |     -- |  3.55e+01 |  5.11e+01
  708885 |  1.24e-03 |     -- |  7.43e+00 |  9.40e+00 |     -- |  3.45e+01 |  4.89e+01
  712890 |  1.21e-03 |     -- |  7.19e+00 |  9.01e+00 |     -- |  3.43e+01 |  4.84e+01
  716895 |  1.19e-03 |     -- |  7.74e+00 |  9.89e+00 |     -- |  3.38e+01 |  4.78e+01
  720900 |  1.22e-03 |     -- |  7.51e+00 |  9.61e+00 |     -- |  3.42e+01 |  4.84e+01
  724905 |  1.21e-03 |     -- |  7.59e+00 |  9.87e+00 |     -- |  3.41e+01 |  4.83e+01
  728910 |  1.15e-03 |     -- |  7.50e+00 |  9.71e+00 |     -- |  3.34e+01 |  4.70e+01
  732915 |  1.13e-03 |     -- |  7.22e+00 |  9.28e+00 |     -- |  3.30e+01 |  4.66e+01
  736920 |  1.16e-03 |     -- |  6.56e+00 |  8.48e+00 |     -- |  3.36e+01 |  4.73e+01
  740925 |  1.13e-03 |     -- |  7.00e+00 |  9.10e+00 |     -- |  3.30e+01 |  4.66e+01
  744930 |  1.15e-03 |     -- |  6.79e+00 |  8.72e+00 |     -- |  3.34e+01 |  4.73e+01
  748935 |  1.12e-03 |     -- |  6.76e+00 |  8.76e+00 |     -- |  3.33e+01 |  4.66e+01
  752940 |  1.16e-03 |     -- |  7.65e+00 |  9.52e+00 |     -- |  3.35e+01 |  4.73e+01
  756945 |  1.30e-03 |     -- |  7.73e+00 |  9.72e+00 |     -- |  3.48e+01 |  5.00e+01
  760950 |  1.12e-03 |     -- |  7.44e+00 |  9.52e+00 |     -- |  3.28e+01 |  4.63e+01
  764955 |  1.12e-03 |     -- |  6.78e+00 |  8.86e+00 |     -- |  3.29e+01 |  4.64e+01
  768960 |  1.11e-03 |     -- |  7.72e+00 |  9.77e+00 |     -- |  3.29e+01 |  4.62e+01
