structure_index,dihedral_deg,atom_index,Z,q0,q_l0_0,q_l1_0,q_l1_1,q_l1_2,q_l1_norm,q_l2_0,q_l2_1,q_l2_2,q_l2_3,q_l2_4,q_l2_norm
714,151.16075159360585,9,6,0.6997027397155762,0.010881767608225346,0.04387365281581879,0.0,0.0,0.04387365281581879,-0.010036686435341835,0.0,0.0,0.029970351606607437,0.03346903622150421,0.04603404551744461
714,151.16075159360585,10,1,-1.7059316635131836,0.0024258929770439863,0.004911060445010662,0.0015050808433443308,-0.0007235605735331774,0.005187226925045252,0.010281208902597427,-0.00386367947794497,0.0018574465066194534,0.013532071374356747,0.006559541914612055,0.01871432363986969
714,151.16075159360585,11,1,-1.7059316635131836,0.0024258929770439863,0.004911061376333237,-0.0015050806105136871,0.0007235603407025337,0.0051872278563678265,0.010281207971274853,0.00386367947794497,-0.0018574460409581661,0.013532070443034172,0.0065595428459346294,0.01871432363986969
714,151.16075159360585,12,6,0.737282395362854,-0.5194329619407654,1.1377100944519043,0.0,0.0,1.1377100944519043,-0.7020938396453857,0.0,0.0,-1.6285886764526367,-1.098470687866211,2.0861148834228516
715,151.26093421285069,0,6,0.7372824549674988,-0.5194329023361206,-1.1377098560333252,0.0,0.0,1.1377098560333252,-1.0935616493225098,0.0,0.0,0.0,-1.7765130996704102,2.0861148834228516
715,151.26093421285069,1,1,-1.7059316635131836,0.0024258934427052736,-0.004911061376333237,0.0016699733678251505,0.0,0.005187228322029114,0.013533946126699448,0.004286973737180233,0.0,0.0,0.012193450704216957,0.01871432736515999
715,151.26093421285069,2,1,-1.7059316635131836,0.0024258936755359173,-0.004911062773317099,-0.0016699738334864378,0.0,0.005187229719012976,0.013533947989344597,-0.00428697420284152,0.0,0.0,0.012193452566862106,0.018714331090450287
715,151.26093421285069,3,6,0.6997027397155762,0.010881757363677025,-0.043873656541109085,0.0,0.0,0.043873656541109085,-0.0028326399624347687,0.0,0.0,0.0,0.045946814119815826,0.04603404551744461
715,151.26093421285069,4,6,0.7093710899353027,0.0032410428393632174,-0.00163179577793926,0.0,0.0,0.00163179577793926,-0.03257395327091217,0.0,0.0,0.0,0.01880664937198162,0.03761319816112518
715,151.26093421285069,5,6,0.7115345597267151,0.004523945972323418,0.0001551807508803904,0.0,0.0,0.0001551807508803904,-0.033257316797971725,0.0,0.0,0.0,0.019201116636395454,0.038402240723371506
715,151.26093421285069,6,6,0.7111343741416931,0.004366655368357897,4.5302938483926525e-11,0.0,0.0,4.5302938483926525e-11,-0.03302140533924103,0.0,0.0,0.0,0.01906491443514824,0.03812983259558678
715,151.26093421285069,7,6,0.7115345597267151,0.004523949697613716,-0.0001551816239953041,0.0,0.0,0.0001551816239953041,-0.033257316797971725,0.0,0.0,0.0,0.019201131537556648,0.0384022481739521
715,151.26093421285069,8,6,0.7093710899353027,0.0032410442363470793,0.001631794380955398,0.0,0.0,0.001631794380955398,-0.03257394954562187,0.0,0.0,0.0,0.01880665309727192,0.037613194435834885
715,151.26093421285069,9,6,0.6997027397155762,0.010881769470870495,0.04387366771697998,0.0,0.0,0.04387366771697998,-0.00998961552977562,0.0,0.0,0.02989482879638672,0.033550575375556946,0.04603405296802521
