Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  893376 |  1.03e-02 |     -- |  1.83e+00 |  2.41e+00 |     -- |  5.04e+01 |  6.67e+01
  902400 |  7.19e-03 |     -- |  1.26e+00 |  1.74e+00 |     -- |  4.87e+01 |  6.44e+01
  911424 |  7.35e-03 |     -- |  1.25e+00 |  1.86e+00 |     -- |  4.72e+01 |  6.24e+01
  920448 |  7.92e-03 |     -- |  1.48e+00 |  2.04e+00 |     -- |  4.62e+01 |  6.14e+01
  929472 |  5.86e-03 |     -- |  1.05e+00 |  1.52e+00 |     -- |  4.49e+01 |  5.95e+01
  938496 |  8.06e-03 |     -- |  1.32e+00 |  2.11e+00 |     -- |  4.48e+01 |  5.99e+01
  947520 |  6.18e-03 |     -- |  1.25e+00 |  1.73e+00 |     -- |  4.24e+01 |  5.64e+01
  956544 |  8.87e-03 |     -- |  1.41e+00 |  2.33e+00 |     -- |  4.34e+01 |  5.88e+01
  965568 |  4.57e-03 |     -- |  8.29e-01 |  1.30e+00 |     -- |  4.04e+01 |  5.37e+01
  974592 |  4.94e-03 |     -- |  1.04e+00 |  1.48e+00 |     -- |  3.94e+01 |  5.23e+01
  983616 |  5.40e-03 |     -- |  1.21e+00 |  1.63e+00 |     -- |  3.90e+01 |  5.24e+01
  992640 |  4.18e-03 |     -- |  9.64e-01 |  1.29e+00 |     -- |  3.77e+01 |  5.02e+01
 1001664 |  5.30e-03 |     -- |  1.20e+00 |  1.65e+00 |     -- |  3.79e+01 |  5.07e+01
 1010688 |  6.01e-03 |     -- |  1.15e+00 |  1.76e+00 |     -- |  3.85e+01 |  5.41e+01
 1019712 |  5.04e-03 |     -- |  1.26e+00 |  1.67e+00 |     -- |  3.55e+01 |  4.75e+01
 1028736 |  3.87e-03 |     -- |  8.99e-01 |  1.32e+00 |     -- |  3.45e+01 |  4.61e+01
 1037760 |  5.31e-03 |     -- |  1.28e+00 |  1.74e+00 |     -- |  3.57e+01 |  4.79e+01
 1046784 |  5.08e-03 |     -- |  1.04e+00 |  1.70e+00 |     -- |  3.46e+01 |  4.68e+01
 1055808 |  2.81e-03 |     -- |  7.36e-01 |  9.65e-01 |     -- |  3.22e+01 |  4.33e+01
 1064832 |  3.29e-03 |     -- |  8.72e-01 |  1.19e+00 |     -- |  3.22e+01 |  4.33e+01
 1073856 |  4.22e-03 |     -- |  1.15e+00 |  1.52e+00 |     -- |  3.25e+01 |  4.39e+01
 1082880 |  3.08e-03 |     -- |  7.92e-01 |  1.17e+00 |     -- |  3.08e+01 |  4.14e+01
 1091904 |  3.19e-03 |     -- |  9.55e-01 |  1.24e+00 |     -- |  3.02e+01 |  4.07e+01
 1100928 |  2.63e-01 |     -- |  5.57e+00 |  1.46e+01 |     -- |  1.18e+02 |  2.25e+02
