Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  352440 |  7.98e-04 |     -- |  6.97e+00 |  9.10e+00 |     -- |  2.57e+01 |  3.89e+01
  356445 |  9.67e-04 |     -- |  6.50e+00 |  8.87e+00 |     -- |  2.71e+01 |  4.31e+01
  360450 |  8.10e-04 |     -- |  6.47e+00 |  8.44e+00 |     -- |  2.63e+01 |  3.93e+01
  364455 |  7.61e-04 |     -- |  5.63e+00 |  7.75e+00 |     -- |  2.53e+01 |  3.82e+01
  368460 |  7.79e-04 |     -- |  7.11e+00 |  9.27e+00 |     -- |  2.55e+01 |  3.84e+01
  372465 |  7.35e-04 |     -- |  6.95e+00 |  9.05e+00 |     -- |  2.46e+01 |  3.73e+01
  376470 |  7.55e-04 |     -- |  6.30e+00 |  8.09e+00 |     -- |  2.54e+01 |  3.80e+01
  380475 |  7.32e-04 |     -- |  6.23e+00 |  8.14e+00 |     -- |  2.46e+01 |  3.74e+01
  384480 |  7.22e-04 |     -- |  6.46e+00 |  8.63e+00 |     -- |  2.48e+01 |  3.70e+01
  388485 |  7.30e-04 |     -- |  6.57e+00 |  8.41e+00 |     -- |  2.50e+01 |  3.73e+01
  392490 |  1.36e-03 |     -- |  6.61e+00 |  8.76e+00 |     -- |  2.74e+01 |  5.15e+01
  396495 |  9.46e-04 |     -- |  7.21e+00 |  9.31e+00 |     -- |  2.75e+01 |  4.25e+01
  400500 |  8.01e-04 |     -- |  7.26e+00 |  9.47e+00 |     -- |  2.56e+01 |  3.89e+01
  404505 |  7.79e-04 |     -- |  7.83e+00 |  1.02e+01 |     -- |  2.53e+01 |  3.81e+01
  408510 |  7.69e-04 |     -- |  5.67e+00 |  7.62e+00 |     -- |  2.53e+01 |  3.85e+01
  412515 |  8.03e-04 |     -- |  7.90e+00 |  1.02e+01 |     -- |  2.58e+01 |  3.88e+01
  416520 |  8.22e-04 |     -- |  5.96e+00 |  7.79e+00 |     -- |  2.62e+01 |  3.98e+01
