Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  416520 |  2.08e-03 |     -- |  8.75e+00 |  1.12e+01 |     -- |  4.29e+01 |  6.35e+01
  420525 |  2.18e-03 |     -- |  8.90e+00 |  1.12e+01 |     -- |  4.36e+01 |  6.50e+01
  424530 |  2.08e-03 |     -- |  9.04e+00 |  1.14e+01 |     -- |  4.30e+01 |  6.35e+01
  428535 |  2.05e-03 |     -- |  8.87e+00 |  1.11e+01 |     -- |  4.24e+01 |  6.31e+01
  432540 |  2.19e-03 |     -- |  8.61e+00 |  1.07e+01 |     -- |  4.36e+01 |  6.53e+01
  436545 |  1.98e-03 |     -- |  9.16e+00 |  1.13e+01 |     -- |  4.18e+01 |  6.18e+01
  440550 |  2.02e-03 |     -- |  8.03e+00 |  1.01e+01 |     -- |  4.24e+01 |  6.28e+01
  444555 |  2.03e-03 |     -- |  9.12e+00 |  1.13e+01 |     -- |  4.22e+01 |  6.27e+01
  448560 |  1.99e-03 |     -- |  8.13e+00 |  1.07e+01 |     -- |  4.19e+01 |  6.21e+01
  452565 |  1.97e-03 |     -- |  8.74e+00 |  1.10e+01 |     -- |  4.16e+01 |  6.18e+01
  456570 |  2.01e-03 |     -- |  8.30e+00 |  1.06e+01 |     -- |  4.21e+01 |  6.26e+01
  460575 |  1.96e-03 |     -- |  9.14e+00 |  1.13e+01 |     -- |  4.15e+01 |  6.16e+01
  464580 |  1.97e-03 |     -- |  8.20e+00 |  1.02e+01 |     -- |  4.18e+01 |  6.19e+01
  468585 |  1.95e-03 |     -- |  9.31e+00 |  1.17e+01 |     -- |  4.16e+01 |  6.13e+01
  472590 |  1.88e-03 |     -- |  8.32e+00 |  1.05e+01 |     -- |  4.10e+01 |  6.05e+01
  476595 |  1.92e-03 |     -- |  7.81e+00 |  9.85e+00 |     -- |  4.13e+01 |  6.12e+01
  480600 |  2.03e-03 |     -- |  8.13e+00 |  1.02e+01 |     -- |  4.24e+01 |  6.29e+01
