Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
63181222 |  3.44e-05 |     -- |  1.16e+00 |  2.72e+00 |     -- |  3.87e+00 |  7.76e+00
63991248 |  3.48e-05 |     -- |  1.13e+00 |  2.72e+00 |     -- |  3.87e+00 |  7.92e+00
64801274 |  3.29e-05 |     -- |  1.11e+00 |  2.69e+00 |     -- |  3.82e+00 |  7.71e+00
65611301 |  3.45e-05 |     -- |  1.12e+00 |  2.69e+00 |     -- |  3.85e+00 |  7.89e+00
66421306 |  3.34e-05 |     -- |  1.10e+00 |  2.66e+00 |     -- |  3.80e+00 |  7.73e+00
67231328 |  3.24e-05 |     -- |  1.06e+00 |  2.62e+00 |     -- |  3.74e+00 |  7.58e+00
68041345 |  3.24e-05 |     -- |  1.09e+00 |  2.63e+00 |     -- |  3.77e+00 |  7.62e+00
68851350 |  3.43e-05 |     -- |  1.07e+00 |  2.70e+00 |     -- |  3.76e+00 |  7.82e+00
69661355 |  3.19e-05 |     -- |  1.08e+00 |  2.61e+00 |     -- |  3.70e+00 |  7.52e+00
70471382 |  3.13e-05 |     -- |  1.07e+00 |  2.61e+00 |     -- |  3.67e+00 |  7.47e+00
71281407 |  3.21e-05 |     -- |  1.09e+00 |  2.61e+00 |     -- |  3.73e+00 |  7.63e+00
72091407 |  3.14e-05 |     -- |  1.04e+00 |  2.62e+00 |     -- |  3.62e+00 |  7.49e+00
72901434 |  3.02e-05 |     -- |  1.06e+00 |  2.61e+00 |     -- |  3.61e+00 |  7.39e+00
73711460 |  3.23e-05 |     -- |  1.05e+00 |  2.60e+00 |     -- |  3.63e+00 |  7.54e+00
74521462 |  3.08e-05 |     -- |  1.01e+00 |  2.55e+00 |     -- |  3.60e+00 |  7.42e+00
75331479 |  3.27e-05 |     -- |  1.00e+00 |  2.60e+00 |     -- |  3.60e+00 |  7.59e+00
76141493 |  3.02e-05 |     -- |  1.03e+00 |  2.55e+00 |     -- |  3.56e+00 |  7.29e+00
76951495 |  3.00e-05 |     -- |  1.01e+00 |  2.54e+00 |     -- |  3.54e+00 |  7.30e+00
77761495 |  3.04e-05 |     -- |  1.01e+00 |  2.56e+00 |     -- |  3.54e+00 |  7.36e+00
78571502 |  3.00e-05 |     -- |  1.00e+00 |  2.51e+00 |     -- |  3.50e+00 |  7.20e+00
79381521 |  3.06e-05 |     -- |  9.70e-01 |  2.56e+00 |     -- |  3.50e+00 |  7.38e+00
80191546 |  2.87e-05 |     -- |  9.93e-01 |  2.52e+00 |     -- |  3.45e+00 |  7.15e+00
81001561 |  2.95e-05 |     -- |  9.71e-01 |  2.55e+00 |     -- |  3.45e+00 |  7.26e+00
81811578 |  2.97e-05 |     -- |  9.72e-01 |  2.54e+00 |     -- |  3.44e+00 |  7.26e+00
82621582 |  2.85e-05 |     -- |  9.74e-01 |  2.50e+00 |     -- |  3.42e+00 |  7.17e+00
83431606 |  2.90e-05 |     -- |  9.42e-01 |  2.49e+00 |     -- |  3.40e+00 |  7.17e+00
84241623 |  2.80e-05 |     -- |  9.50e-01 |  2.50e+00 |     -- |  3.37e+00 |  7.07e+00
85051648 |  2.99e-05 |     -- |  9.46e-01 |  2.55e+00 |     -- |  3.39e+00 |  7.30e+00
85861648 |  2.79e-05 |     -- |  9.20e-01 |  2.48e+00 |     -- |  3.34e+00 |  7.08e+00
86671671 |  2.80e-05 |     -- |  9.46e-01 |  2.47e+00 |     -- |  3.35e+00 |  7.04e+00
87481698 |  2.82e-05 |     -- |  9.03e-01 |  2.45e+00 |     -- |  3.31e+00 |  7.08e+00
88291706 |  2.80e-05 |     -- |  8.98e-01 |  2.45e+00 |     -- |  3.29e+00 |  7.06e+00
89101721 |  2.79e-05 |     -- |  9.11e-01 |  2.46e+00 |     -- |  3.28e+00 |  7.05e+00
89911731 |  2.75e-05 |     -- |  8.92e-01 |  2.45e+00 |     -- |  3.26e+00 |  6.99e+00
