global_epoch,stage,stage_epoch,lr_weight,std_q,mean_abs_q,std_q_dipole,std_q_quadrupole,f_long_over_f_total,e_long_over_e_total
21,1,21,1.0,0.10376147243631853,0.0492692151843992,0.029661341840609253,0.017291073869991704,2.9286637945997122e-05,3.6432960704132706
22,1,22,1.0,0.10391928445790351,0.04923544435419588,0.030168907719148215,0.016694153031518236,2.8850787349963368e-05,3.3404826473538822
23,1,23,1.0,0.10395522001348982,0.04930267347026075,0.02982388628984664,0.017202062886252187,2.904209473169883e-05,3.4109244108423664
24,1,24,1.0,0.10427482716034844,0.0495781013293144,0.031067559205016113,0.01691864602146759,2.8595332755967898e-05,3.873693649537229
25,1,25,1.0,0.10436027846857737,0.04990746900770399,0.03123731649203232,0.017696587200376826,2.810512210511459e-05,3.621234395541888
26,1,26,1.0,0.10453756141010995,0.049816012292845636,0.0318915950575995,0.016946241535751725,2.7389681100832114e-05,3.846499980714454
27,1,27,1.0,0.10457293361111338,0.04954296398977948,0.03132917639380821,0.016480991365323997,2.7475560865486684e-05,3.5302700929071955
28,1,28,1.0,0.10461671084890067,0.04958097607865293,0.03106687782967034,0.01670241491676766,2.708770271015239e-05,3.4416337923787133
29,1,29,1.0,0.1048112580764171,0.04965810081286308,0.031615496574589216,0.016425932294987983,2.772944609819142e-05,3.734498218702009
30,1,30,1.0,0.1048843245045327,0.049458808409862026,0.031253360029684096,0.01601653111884392,2.602861160586611e-05,3.74767368811907
31,1,31,1.0,0.10497833448644821,0.049326434665256075,0.031034654179062017,0.01571005809420872,2.5745922656849545e-05,3.780191608833339
32,1,32,1.0,0.10519786237294222,0.04962385898166233,0.03164900187922179,0.015995167146202416,2.607363450828372e-05,3.8498860249547717
33,1,33,1.0,0.1053858518610236,0.04977906049418653,0.03234008223680903,0.01587688055227352,2.6301651897659925e-05,3.515607955753922
34,1,34,1.0,0.10557125670129286,0.049715377025115186,0.03166080900972442,0.015940955961098062,2.603224805555075e-05,3.7781638535636524
35,1,35,1.0,0.105671251965148,0.04981591627332899,0.03240514941940851,0.01573173162606111,2.498095455314479e-05,3.79204921148388
36,1,36,1.0,0.1056904090316731,0.050023311125926485,0.032518248132887916,0.016288206151489376,2.4700374192014177e-05,3.239477648745719
37,1,37,1.0,0.10579556869984746,0.049763892670981906,0.03193462689915844,0.015736899371492693,2.4716477421828232e-05,3.839703950413147
38,1,38,1.0,0.10600613321651522,0.05015837944878472,0.032880314033745986,0.01615603432031059,2.4252738284425688e-05,3.4156839494722524
39,1,39,1.0,0.10599662857126245,0.04976707210703793,0.03222493644352654,0.015449643105593333,2.427770891938881e-05,3.8919513413266844
40,1,40,1.0,0.10621839942184803,0.04981281091412927,0.03232929324360355,0.015310559718748312,2.3922325886958094e-05,3.792350689997235
41,1,41,1.0,0.10635765604627988,0.04999449085985493,0.03323925530073216,0.015184963323612086,2.4185591457827135e-05,3.7895779001058543
42,1,42,1.0,0.10642420477904636,0.050286455920618825,0.03354831552956452,0.01575565455282359,2.4500989739187236e-05,3.855750659834727
43,1,43,1.0,0.1064628302194624,0.050340410998743826,0.033760893056428244,0.015806107921282606,2.448460031704834e-05,3.7392148322434973
44,1,44,1.0,0.10662843778111503,0.05073639783288678,0.03468036945339791,0.016245008476510798,2.455760605340518e-05,3.8165708264210254
45,1,45,1.0,0.1067573941373547,0.05099229261610243,0.03537291616145191,0.016489186149805178,2.4829557726316684e-05,3.8394313627789303
46,1,46,1.0,0.10676616240692399,0.0511132195301545,0.03563010838511935,0.016718841754049994,2.4942495580875724e-05,3.841101692177355
47,1,47,1.0,0.10703735357367322,0.05141619338337173,0.03647599715308892,0.01680149395648333,2.5129600872760435e-05,3.8676720191564256
