struct_id,dihedral_deg,atom_index,Z,q0,q1_x,q1_y,q1_z,q1_norm,q2_0,q2_1,q2_2,q2_3,q2_4,q2_norm
586,138.43288411409813,7,6,-0.13955019414424896,-2.730959458574489e-09,-1.440693608856236e-07,7.48397823713276e-08,1.623712790888021e-07,1.5967451361120766e-07,2.0344355107226875e-06,7.137430770853825e-07,-1.6603921437763347e-07,-1.8129354657503427e-06,2.8263327749300515e-06
586,138.43288411409813,8,6,-0.13567501306533813,-2.7305188154969073e-07,9.231896314076948e-08,-1.1900112895091297e-07,3.1183552096081257e-07,-5.681188781636592e-07,1.461269107494445e-06,8.60795950075044e-08,2.327955570535778e-07,-2.029588586083264e-06,2.5766062208276708e-06
586,138.43288411409813,9,6,-0.12298808991909027,3.734233473551285e-07,1.6433020846307045e-06,2.985958644785569e-06,3.428678382988437e-06,2.342989091630443e-08,2.9878954137529945e-06,2.2131757759780157e-06,1.2586330910835386e-07,-1.2238654107932234e-06,3.9166188798844814e-06
586,138.43288411409813,10,1,-0.17252951860427856,-1.0650164767866954e-06,-2.2544199964613654e-06,5.554463200496684e-08,2.493943611625582e-06,-1.484861286371597e-06,-8.377218364330474e-06,-1.4295401342678815e-06,-5.519438559531409e-07,6.967527355072889e-08,8.644980880490039e-06
586,138.43288411409813,11,1,-0.17252951860427856,3.2466573429701384e-06,-1.988061512747663e-06,-2.2746712602383923e-06,4.434783477336168e-06,-1.5865775822021533e-06,-3.0765027076995466e-06,-9.985915312427096e-07,1.1724678472546657e-07,1.463171770410554e-07,3.6075530260859523e-06
586,138.43288411409813,12,6,-0.14445585012435913,-1.1710475291693e-06,1.3711539850191912e-06,-6.064957602802679e-08,1.804187832021853e-06,-9.993822231990634e-07,6.132294856797671e-06,2.55838699558808e-07,-3.444452545409149e-07,-1.1504981785037671e-06,6.3333677644550335e-06
587,138.5315122815036,0,6,-0.14457204937934875,1.1710476428561378e-06,-1.3711534165850026e-06,6.064970392571922e-08,1.8041876046481775e-06,-3.1527810051557026e-07,5.765210516983643e-06,-1.3351129837246845e-06,6.71480435698868e-08,-1.8376243815509952e-07,5.929406142968219e-06
587,138.5315122815036,1,1,-0.17220580577850342,-3.72467775378027e-06,4.536316282610642e-06,1.0424566880828934e-06,5.961384886177257e-06,-3.3820699627540307e-06,-2.3410400444845436e-06,-1.4689790361899213e-07,3.032006929970521e-07,-5.454792244563578e-07,4.162922323303064e-06
587,138.5315122815036,2,1,-0.17220580577850342,1.5430372286573402e-06,-2.9383505761870765e-07,1.1766717307182262e-06,1.9626154426077846e-06,-2.113958998961607e-06,-4.624830580723938e-06,-1.1817527365565184e-06,-3.5744699289352866e-07,2.975137363137037e-07,5.241250164544908e-06
587,138.5315122815036,3,6,-0.12296918034553528,-3.734235463070945e-07,-1.6433020846307045e-06,-2.9859584174118936e-06,3.4286781556147616e-06,-2.7078408493252937e-07,2.6812961095856735e-06,2.084110064970446e-06,2.6357349725003587e-07,-1.107277171286114e-06,3.5918967569159577e-06
