Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  416520 |  7.39e-04 |     -- |  6.56e+00 |  8.42e+00 |     -- |  2.47e+01 |  3.75e+01
  420525 |  7.56e-04 |     -- |  7.41e+00 |  9.35e+00 |     -- |  2.51e+01 |  3.78e+01
  424530 |  8.07e-04 |     -- |  7.07e+00 |  9.08e+00 |     -- |  2.56e+01 |  3.91e+01
  428535 |  7.33e-04 |     -- |  7.22e+00 |  9.22e+00 |     -- |  2.47e+01 |  3.72e+01
  432540 |  7.51e-04 |     -- |  6.36e+00 |  8.37e+00 |     -- |  2.49e+01 |  3.78e+01
  436545 |  7.39e-04 |     -- |  6.83e+00 |  8.49e+00 |     -- |  2.47e+01 |  3.75e+01
  440550 |  6.98e-04 |     -- |  6.64e+00 |  8.66e+00 |     -- |  2.41e+01 |  3.64e+01
  444555 |  7.37e-04 |     -- |  7.72e+00 |  9.80e+00 |     -- |  2.45e+01 |  3.71e+01
  448560 |  7.37e-04 |     -- |  6.08e+00 |  7.91e+00 |     -- |  2.46e+01 |  3.76e+01
  452565 |  6.81e-04 |     -- |  6.93e+00 |  9.14e+00 |     -- |  2.38e+01 |  3.58e+01
  456570 |  7.29e-04 |     -- |  6.71e+00 |  8.35e+00 |     -- |  2.42e+01 |  3.73e+01
  460575 |  6.87e-04 |     -- |  6.15e+00 |  7.56e+00 |     -- |  2.41e+01 |  3.63e+01
  464580 |  6.59e-04 |     -- |  5.68e+00 |  7.37e+00 |     -- |  2.33e+01 |  3.56e+01
  468585 |  6.48e-04 |     -- |  6.68e+00 |  8.43e+00 |     -- |  2.29e+01 |  3.50e+01
  472590 |  6.68e-04 |     -- |  6.89e+00 |  9.24e+00 |     -- |  2.32e+01 |  3.54e+01
  476595 |  6.75e-04 |     -- |  6.81e+00 |  8.41e+00 |     -- |  2.36e+01 |  3.58e+01
  480600 |  1.56e-03 |     -- |  6.25e+00 |  8.22e+00 |     -- |  2.58e+01 |  5.52e+01
  484605 |  6.64e-04 |     -- |  6.02e+00 |  7.85e+00 |     -- |  2.35e+01 |  3.56e+01
  488610 |  6.80e-04 |     -- |  6.67e+00 |  8.58e+00 |     -- |  2.37e+01 |  3.59e+01
  492615 |  6.32e-04 |     -- |  7.26e+00 |  9.21e+00 |     -- |  2.28e+01 |  3.43e+01
  496620 |  6.34e-04 |     -- |  6.95e+00 |  9.02e+00 |     -- |  2.29e+01 |  3.44e+01
  500625 |  6.43e-04 |     -- |  6.27e+00 |  8.11e+00 |     -- |  2.32e+01 |  3.49e+01
  504630 |  6.48e-04 |     -- |  6.32e+00 |  8.37e+00 |     -- |  2.29e+01 |  3.50e+01
  508635 |  6.33e-04 |     -- |  6.05e+00 |  7.78e+00 |     -- |  2.32e+01 |  3.47e+01
  512640 |  6.52e-04 |     -- |  7.55e+00 |  9.82e+00 |     -- |  2.29e+01 |  3.48e+01
  516645 |  7.08e-04 |     -- |  6.78e+00 |  8.54e+00 |     -- |  2.39e+01 |  3.67e+01
  520650 |  6.49e-04 |     -- |  7.75e+00 |  9.85e+00 |     -- |  2.30e+01 |  3.46e+01
  524655 |  6.17e-04 |     -- |  5.98e+00 |  7.91e+00 |     -- |  2.26e+01 |  3.42e+01
  528660 |  6.50e-04 |     -- |  6.04e+00 |  8.18e+00 |     -- |  2.34e+01 |  3.51e+01
  532665 |  6.56e-04 |     -- |  6.75e+00 |  8.86e+00 |     -- |  2.33e+01 |  3.51e+01
  536670 |  6.53e-04 |     -- |  7.32e+00 |  9.50e+00 |     -- |  2.30e+01 |  3.49e+01
  540675 |  6.37e-04 |     -- |  7.10e+00 |  9.23e+00 |     -- |  2.26e+01 |  3.45e+01
  544680 |  5.98e-04 |     -- |  6.60e+00 |  8.53e+00 |     -- |  2.22e+01 |  3.35e+01
  548685 |  6.45e-04 |     -- |  6.34e+00 |  8.39e+00 |     -- |  2.31e+01 |  3.49e+01
  552690 |  5.75e-04 |     -- |  6.08e+00 |  7.54e+00 |     -- |  2.19e+01 |  3.31e+01
  556695 |  5.89e-04 |     -- |  6.18e+00 |  8.07e+00 |     -- |  2.23e+01 |  3.34e+01
  560700 |  5.69e-04 |     -- |  5.79e+00 |  7.63e+00 |     -- |  2.16e+01 |  3.29e+01
  564705 |  6.25e-04 |     -- |  5.31e+00 |  7.03e+00 |     -- |  2.29e+01 |  3.46e+01
  568710 |  5.81e-04 |     -- |  5.80e+00 |  7.45e+00 |     -- |  2.23e+01 |  3.33e+01
  572715 |  6.06e-04 |     -- |  7.49e+00 |  9.68e+00 |     -- |  2.22e+01 |  3.34e+01
  576720 |  5.65e-04 |     -- |  6.14e+00 |  7.88e+00 |     -- |  2.18e+01 |  3.27e+01
  580725 |  6.37e-04 |     -- |  6.57e+00 |  8.30e+00 |     -- |  2.29e+01 |  3.47e+01
  584730 |  5.89e-04 |     -- |  5.27e+00 |  6.95e+00 |     -- |  2.20e+01 |  3.36e+01
  588735 |  5.94e-04 |     -- |  7.20e+00 |  9.11e+00 |     -- |  2.21e+01 |  3.32e+01
  592740 |  5.89e-04 |     -- |  6.31e+00 |  8.12e+00 |     -- |  2.21e+01 |  3.33e+01
  596745 |  5.53e-04 |     -- |  5.95e+00 |  7.59e+00 |     -- |  2.13e+01 |  3.24e+01
  600750 |  5.45e-04 |     -- |  6.40e+00 |  8.14e+00 |     -- |  2.13e+01 |  3.20e+01
  604755 |  6.16e-04 |     -- |  6.12e+00 |  8.06e+00 |     -- |  2.22e+01 |  3.42e+01
  608760 |  5.32e-04 |     -- |  5.87e+00 |  7.54e+00 |     -- |  2.14e+01 |  3.17e+01
  612765 |  5.67e-04 |     -- |  6.04e+00 |  7.71e+00 |     -- |  2.14e+01 |  3.28e+01
  616770 |  5.38e-04 |     -- |  7.00e+00 |  9.01e+00 |     -- |  2.12e+01 |  3.15e+01
  620775 |  5.44e-04 |     -- |  5.81e+00 |  7.39e+00 |     -- |  2.13e+01 |  3.21e+01
  624780 |  5.96e-04 |     -- |  6.00e+00 |  7.76e+00 |     -- |  2.22e+01 |  3.36e+01
  628785 |  5.69e-04 |     -- |  6.43e+00 |  8.32e+00 |     -- |  2.13e+01 |  3.27e+01
  632790 |  5.51e-04 |     -- |  6.23e+00 |  7.90e+00 |     -- |  2.14e+01 |  3.22e+01
  636795 |  5.27e-04 |     -- |  7.19e+00 |  9.22e+00 |     -- |  2.06e+01 |  3.11e+01
  640800 |  5.08e-04 |     -- |  5.15e+00 |  6.90e+00 |     -- |  2.09e+01 |  3.11e+01
  644805 |  5.09e-04 |     -- |  6.26e+00 |  8.12e+00 |     -- |  2.03e+01 |  3.08e+01
  648810 |  4.94e-04 |     -- |  5.82e+00 |  7.55e+00 |     -- |  2.08e+01 |  3.05e+01
  652815 |  5.58e-04 |     -- |  6.83e+00 |  8.89e+00 |     -- |  2.11e+01 |  3.22e+01
  656820 |  5.17e-04 |     -- |  5.66e+00 |  7.58e+00 |     -- |  2.09e+01 |  3.13e+01
