global_epoch,stage,stage_epoch,lr_weight,std_q,mean_abs_q,std_q_dipole,std_q_quadrupole,f_long_over_f_total,e_long_over_e_total
350,3,50,10.0,0.02538550919969809,0.009445265093420306,0.0016889359755998354,0.0015088187698628522,0.0004863991678342174,2.3610016176575828
360,3,60,10.0,0.02533756196034049,0.009426325626862355,0.0016900814703567292,0.001511235524507212,0.00048682037563493,2.3950631353139586
370,3,70,10.0,0.025317119933702562,0.00941787789010594,0.001690531958814519,0.001511987576147353,0.0004871384633884638,2.410539889728229
380,3,80,10.0,0.025296704381662132,0.009409435810186923,0.001690976204033811,0.001512736728544721,0.0004874720631699533,2.4262041210197536
390,3,90,10.0,0.025287953683643585,0.00940573465722239,0.0016908999860040588,0.0015131290162810444,0.0004876111481553662,2.433622696132743
400,3,100,10.0,0.025279198576991856,0.009402030855162532,0.0016908214774399087,0.0015135212851743417,0.0004877532073282014,2.4410835402140054
410,4,10,20.0,0.025276341572266936,0.009400740158863557,0.0016907646829589101,0.0015136118343315583,0.0009751833980542063,1.4192286982100406
420,4,20,20.0,0.025272960653701205,0.009399200586172251,0.0016906964114198457,0.0015137163195935949,0.000975333577428911,1.4197643627703247
430,4,30,20.0,0.025271801207495982,0.009398696491860935,0.0016906720784411406,0.0015137695021891823,0.0009753838399005017,1.4199341523157
440,4,40,20.0,0.025270641909107414,0.009398192397549621,0.0016906477742446241,0.0015138226693107344,0.0009754336263271312,1.4201039827471291
450,4,50,20.0,0.025270269269717833,0.009398039548824995,0.001690640273075022,0.0015138408475468045,0.0009754457662403727,1.420154362432633
460,4,60,20.0,0.025269896421413852,0.009397886716402494,0.0016906327820244297,0.0015138590391699258,0.0009754576392468573,1.4202047378376714
470,4,70,20.0,0.025269761964054237,0.009397834688170343,0.0016906306434207243,0.0015138645333485018,0.000975457005561588,1.4202186478207433
