global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,n_structures,amp_ref_rel,amp_pred_total_rel,amp_pred_long_rel,amp_pred_short_rel,corr_total_vs_ref,corr_long_vs_ref,mean_f_long_over_total,mean_q0_abs,mean_q1_norm,mean_q2_norm
180,1,stage_1,180,10.0,1.0,1000,0.742828369140625,0.006793975830078125,0.0,0.006793975830078125,0.23848710564264736,nan,0.009904107183218002,0.14285903668403627,0.00017682104361301754,0.000409364273713436
190,1,stage_1,190,10.0,1.0,1000,0.742828369140625,0.00385284423828125,4.76837158203125e-06,0.0038480758666992188,0.23778048197668283,0.19431920149303494,0.003828300481196493,0.14358094860613346,0.0001793722796574002,0.00040914247996988706
200,1,stage_1,200,10.0,1.0,1000,0.742828369140625,0.00341033935546875,0.0,0.00341033935546875,0.23786507344396013,nan,0.011155190132558345,0.14428206339478492,0.0001804717057966627,0.000413515932217706
210,1,stage_1,210,10.0,1.0,1000,0.742828369140625,0.00653839111328125,4.76837158203125e-06,0.006533622741699219,0.23797543467379717,0.21760417777395147,0.005700144744012505,0.144285358607769,0.00017979781824396923,0.00041022051652544176
220,1,stage_1,220,10.0,1.0,1000,0.742828369140625,0.005504608154296875,4.76837158203125e-06,0.005499839782714844,0.23797017355846195,0.18558737450474522,0.00767040480626747,0.14486207249760627,0.00018222663745109458,0.00041035796669893897
230,1,stage_1,230,10.0,1.0,1000,0.742828369140625,0.00209808349609375,4.76837158203125e-06,0.0020933151245117188,0.2373243560592556,0.127317505758955,0.0052397080133669074,0.14559829656779766,0.00018340106874529738,0.0004073451154399663
240,1,stage_1,240,10.0,1.0,1000,0.742828369140625,0.004642486572265625,0.0,0.004642486572265625,0.2381521219793604,nan,0.0056560527398251,0.1456848403811455,0.00018345734987815375,0.0004053256793995388
250,1,stage_1,250,10.0,1.0,1000,0.742828369140625,0.001880645751953125,4.76837158203125e-06,0.0018758773803710938,0.23890041803998172,0.22558674950282057,0.00823215020634234,0.1460670417547226,0.00018797935683687684,0.0004119092295586597
260,1,stage_1,260,10.0,1.0,1000,0.742828369140625,0.003322601318359375,0.0,0.003322601318359375,0.23742295615930137,nan,0.004827357457950711,0.1463888447135687,0.00018921391580079217,0.00041225560306338595
270,1,stage_1,270,10.0,1.0,1000,0.742828369140625,0.002788543701171875,0.0,0.002788543701171875,0.23700494589844615,nan,0.0046586088547483084,0.14662599949538707,0.00019072755675006192,0.0004107330933911726
280,1,stage_1,280,10.0,1.0,1000,0.742828369140625,0.00385284423828125,0.0,0.00385284423828125,0.237121533512422,nan,0.006510569634847343,0.1468423821926117,0.00019249412695353384,0.00041397170402342453
