Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  364455 |  8.12e-04 |     -- |  6.12e+00 |  7.76e+00 |     -- |  2.64e+01 |  3.96e+01
  368460 |  9.02e-04 |     -- |  6.49e+00 |  8.99e+00 |     -- |  2.71e+01 |  4.15e+01
  372465 |  9.16e-04 |     -- |  5.20e+00 |  6.87e+00 |     -- |  2.74e+01 |  4.22e+01
  376470 |  8.33e-04 |     -- |  6.57e+00 |  8.58e+00 |     -- |  2.66e+01 |  3.99e+01
  380475 |  8.65e-04 |     -- |  5.66e+00 |  7.59e+00 |     -- |  2.68e+01 |  4.09e+01
  384480 |  8.19e-04 |     -- |  7.05e+00 |  9.02e+00 |     -- |  2.64e+01 |  3.94e+01
  388485 |  7.90e-04 |     -- |  6.52e+00 |  8.04e+00 |     -- |  2.59e+01 |  3.89e+01
  392490 |  8.58e-04 |     -- |  6.57e+00 |  8.87e+00 |     -- |  2.66e+01 |  4.05e+01
  396495 |  8.05e-04 |     -- |  7.05e+00 |  9.20e+00 |     -- |  2.60e+01 |  3.91e+01
  400500 |  8.47e-04 |     -- |  5.24e+00 |  7.00e+00 |     -- |  2.67e+01 |  4.06e+01
  404505 |  7.86e-04 |     -- |  5.78e+00 |  7.59e+00 |     -- |  2.62e+01 |  3.89e+01
  408510 |  8.10e-04 |     -- |  7.02e+00 |  9.18e+00 |     -- |  2.60e+01 |  3.92e+01
  412515 |  8.04e-04 |     -- |  6.42e+00 |  8.50e+00 |     -- |  2.59e+01 |  3.92e+01
  416520 |  8.47e-04 |     -- |  5.57e+00 |  7.46e+00 |     -- |  2.67e+01 |  4.05e+01
  420525 |  8.04e-04 |     -- |  6.90e+00 |  8.86e+00 |     -- |  2.61e+01 |  3.91e+01
  424530 |  7.62e-04 |     -- |  6.78e+00 |  8.80e+00 |     -- |  2.53e+01 |  3.80e+01
  428535 |  8.19e-04 |     -- |  6.27e+00 |  8.22e+00 |     -- |  2.59e+01 |  3.96e+01
  432540 |  7.54e-04 |     -- |  6.15e+00 |  8.03e+00 |     -- |  2.53e+01 |  3.80e+01
  436545 |  7.96e-04 |     -- |  5.01e+00 |  6.67e+00 |     -- |  2.62e+01 |  3.93e+01
  440550 |  8.44e-04 |     -- |  5.46e+00 |  7.36e+00 |     -- |  2.62e+01 |  4.04e+01
  444555 |  7.69e-04 |     -- |  5.53e+00 |  7.30e+00 |     -- |  2.55e+01 |  3.85e+01
  448560 |  7.57e-04 |     -- |  6.41e+00 |  8.28e+00 |     -- |  2.53e+01 |  3.80e+01
  452565 |  7.69e-04 |     -- |  7.33e+00 |  9.73e+00 |     -- |  2.53e+01 |  3.80e+01
  456570 |  7.67e-04 |     -- |  5.48e+00 |  7.01e+00 |     -- |  2.54e+01 |  3.85e+01
  460575 |  7.64e-04 |     -- |  5.87e+00 |  7.88e+00 |     -- |  2.53e+01 |  3.83e+01
