Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  388005 |  7.28e-04 |     -- |  7.70e+00 |  9.74e+00 |     -- |  2.42e+01 |  3.69e+01
  392005 |  6.78e-04 |     -- |  6.54e+00 |  8.60e+00 |     -- |  2.36e+01 |  3.58e+01
  396005 |  1.42e-02 |     -- |  7.78e+00 |  1.36e+01 |     -- |  3.37e+01 |  1.68e+02
  400005 |  6.75e-04 |     -- |  5.25e+00 |  6.91e+00 |     -- |  2.35e+01 |  3.61e+01
  404005 |  6.33e-04 |     -- |  4.82e+00 |  6.52e+00 |     -- |  2.32e+01 |  3.50e+01
  408005 |  6.36e-04 |     -- |  4.37e+00 |  6.07e+00 |     -- |  2.27e+01 |  3.51e+01
  412006 |  6.36e-04 |     -- |  4.85e+00 |  6.62e+00 |     -- |  2.29e+01 |  3.50e+01
  416006 |  6.23e-04 |     -- |  4.67e+00 |  6.28e+00 |     -- |  2.29e+01 |  3.47e+01
  420006 |  6.08e-04 |     -- |  5.83e+00 |  7.78e+00 |     -- |  2.24e+01 |  3.40e+01
  424006 |  6.46e-04 |     -- |  4.35e+00 |  5.79e+00 |     -- |  2.33e+01 |  3.55e+01
  428006 |  6.03e-04 |     -- |  5.48e+00 |  7.22e+00 |     -- |  2.25e+01 |  3.40e+01
  432006 |  6.35e-04 |     -- |  5.84e+00 |  8.00e+00 |     -- |  2.31e+01 |  3.47e+01
  436007 |  5.90e-04 |     -- |  6.06e+00 |  7.77e+00 |     -- |  2.22e+01 |  3.35e+01
  440007 |  6.42e-04 |     -- |  5.55e+00 |  7.32e+00 |     -- |  2.32e+01 |  3.51e+01
  444007 |  5.96e-04 |     -- |  5.66e+00 |  7.50e+00 |     -- |  2.22e+01 |  3.37e+01
  448007 |  6.38e-04 |     -- |  6.49e+00 |  8.50e+00 |     -- |  2.30e+01 |  3.47e+01
  452007 |  6.34e-04 |     -- |  6.91e+00 |  8.83e+00 |     -- |  2.31e+01 |  3.45e+01
  456007 |  6.48e-04 |     -- |  6.58e+00 |  8.47e+00 |     -- |  2.32e+01 |  3.50e+01
  460007 |  6.75e-04 |     -- |  6.47e+00 |  8.24e+00 |     -- |  2.39e+01 |  3.58e+01
  464007 |  6.14e-04 |     -- |  7.78e+00 |  9.69e+00 |     -- |  2.26e+01 |  3.37e+01
  468007 |  6.81e-04 |     -- |  6.32e+00 |  8.41e+00 |     -- |  2.38e+01 |  3.59e+01
  472007 |  6.76e-04 |     -- |  7.26e+00 |  9.35e+00 |     -- |  2.37e+01 |  3.56e+01
  476007 |  6.72e-04 |     -- |  8.03e+00 |  1.01e+01 |     -- |  2.34e+01 |  3.52e+01
  480007 |  6.74e-04 |     -- |  7.64e+00 |  9.56e+00 |     -- |  2.33e+01 |  3.55e+01
  484007 |  6.55e-04 |     -- |  7.03e+00 |  8.97e+00 |     -- |  2.32e+01 |  3.51e+01
  488007 |  6.49e-04 |     -- |  6.84e+00 |  8.85e+00 |     -- |  2.33e+01 |  3.49e+01
  492007 |  6.85e-04 |     -- |  7.12e+00 |  8.97e+00 |     -- |  2.36e+01 |  3.59e+01
  496007 |  6.40e-04 |     -- |  7.17e+00 |  9.12e+00 |     -- |  2.31e+01 |  3.46e+01
  500007 |  6.35e-04 |     -- |  5.98e+00 |  7.93e+00 |     -- |  2.31e+01 |  3.47e+01
  504007 |  6.19e-04 |     -- |  6.89e+00 |  8.83e+00 |     -- |  2.26e+01 |  3.41e+01
  508007 |  6.40e-04 |     -- |  6.29e+00 |  8.06e+00 |     -- |  2.29e+01 |  3.49e+01
  512007 |  6.28e-04 |     -- |  5.83e+00 |  7.73e+00 |     -- |  2.30e+01 |  3.46e+01
  516007 |  5.90e-04 |     -- |  6.44e+00 |  8.20e+00 |     -- |  2.24e+01 |  3.34e+01
  520007 |  6.45e-04 |     -- |  7.35e+00 |  9.57e+00 |     -- |  2.27e+01 |  3.46e+01
  524007 |  6.88e-03 |     -- |  8.14e+00 |  1.22e+01 |     -- |  3.73e+01 |  1.17e+02
  528007 |  5.35e-04 |     -- |  4.90e+00 |  6.48e+00 |     -- |  2.14e+01 |  3.21e+01
  532007 |  4.86e-04 |     -- |  5.29e+00 |  7.06e+00 |     -- |  2.03e+01 |  3.04e+01
  536008 |  4.69e-04 |     -- |  5.88e+00 |  7.61e+00 |     -- |  1.97e+01 |  2.97e+01
  540008 |  4.76e-04 |     -- |  4.95e+00 |  6.63e+00 |     -- |  1.99e+01 |  3.01e+01
  544008 |  4.69e-04 |     -- |  4.89e+00 |  6.45e+00 |     -- |  2.00e+01 |  2.99e+01
  548008 |  4.65e-04 |     -- |  5.36e+00 |  7.07e+00 |     -- |  1.98e+01 |  2.97e+01
  552008 |  4.81e-04 |     -- |  4.97e+00 |  6.76e+00 |     -- |  2.03e+01 |  3.03e+01
  556008 |  4.82e-04 |     -- |  4.86e+00 |  6.56e+00 |     -- |  2.03e+01 |  3.03e+01
  560008 |  5.05e-04 |     -- |  5.76e+00 |  7.37e+00 |     -- |  2.07e+01 |  3.09e+01
  564008 |  4.87e-04 |     -- |  5.74e+00 |  7.40e+00 |     -- |  2.02e+01 |  3.03e+01
  568008 |  4.87e-04 |     -- |  5.85e+00 |  7.72e+00 |     -- |  2.03e+01 |  3.02e+01
  572008 |  5.13e-04 |     -- |  5.68e+00 |  7.55e+00 |     -- |  2.09e+01 |  3.11e+01
  576008 |  5.06e-04 |     -- |  5.73e+00 |  7.64e+00 |     -- |  2.10e+01 |  3.09e+01
  580008 |  5.21e-04 |     -- |  5.85e+00 |  7.79e+00 |     -- |  2.09e+01 |  3.13e+01
  584008 |  5.48e-04 |     -- |  6.78e+00 |  8.64e+00 |     -- |  2.14e+01 |  3.19e+01
  588008 |  5.28e-04 |     -- |  6.74e+00 |  8.54e+00 |     -- |  2.11e+01 |  3.14e+01
  592008 |  5.60e-04 |     -- |  6.11e+00 |  7.76e+00 |     -- |  2.15e+01 |  3.25e+01
  596008 |  5.43e-04 |     -- |  7.71e+00 |  9.84e+00 |     -- |  2.12e+01 |  3.14e+01
  600008 |  5.66e-04 |     -- |  6.20e+00 |  8.18e+00 |     -- |  2.21e+01 |  3.26e+01
  604008 |  5.71e-04 |     -- |  8.15e+00 |  1.03e+01 |     -- |  2.15e+01 |  3.22e+01
  608008 |  5.68e-04 |     -- |  6.12e+00 |  7.80e+00 |     -- |  2.17e+01 |  3.28e+01
  612008 |  5.49e-04 |     -- |  5.88e+00 |  7.63e+00 |     -- |  2.16e+01 |  3.22e+01
  616008 |  5.98e-04 |     -- |  6.79e+00 |  8.72e+00 |     -- |  2.25e+01 |  3.35e+01
  620008 |  5.84e-04 |     -- |  5.87e+00 |  7.58e+00 |     -- |  2.22e+01 |  3.33e+01
  624008 |  5.92e-04 |     -- |  6.57e+00 |  8.68e+00 |     -- |  2.22e+01 |  3.33e+01
  628008 |  5.81e-04 |     -- |  6.00e+00 |  7.94e+00 |     -- |  2.19e+01 |  3.31e+01
  632008 |  5.67e-04 |     -- |  7.07e+00 |  9.13e+00 |     -- |  2.17e+01 |  3.24e+01
  636008 |  5.78e-04 |     -- |  6.17e+00 |  8.01e+00 |     -- |  2.20e+01 |  3.30e+01
  640008 |  5.61e-04 |     -- |  6.68e+00 |  8.49e+00 |     -- |  2.16e+01 |  3.24e+01
  644008 |  5.85e-04 |     -- |  5.56e+00 |  7.51e+00 |     -- |  2.21e+01 |  3.34e+01
  648008 |  5.83e-04 |     -- |  5.40e+00 |  7.13e+00 |     -- |  2.20e+01 |  3.34e+01
  652008 |  5.36e-04 |     -- |  6.10e+00 |  7.89e+00 |     -- |  2.13e+01 |  3.18e+01
  656008 |  5.35e-04 |     -- |  5.53e+00 |  7.46e+00 |     -- |  2.14e+01 |  3.19e+01
  660008 |  5.70e-04 |     -- |  6.76e+00 |  8.59e+00 |     -- |  2.17e+01 |  3.26e+01
  664008 |  5.57e-04 |     -- |  5.91e+00 |  7.91e+00 |     -- |  2.15e+01 |  3.24e+01
  668008 |  5.53e-04 |     -- |  5.05e+00 |  6.54e+00 |     -- |  2.18e+01 |  3.26e+01
  672008 |  3.56e-03 |     -- |  6.47e+00 |  8.87e+00 |     -- |  2.50e+01 |  8.39e+01
  676008 |  5.02e-04 |     -- |  5.14e+00 |  6.75e+00 |     -- |  2.05e+01 |  3.09e+01
  680008 |  4.28e-04 |     -- |  5.07e+00 |  6.97e+00 |     -- |  1.90e+01 |  2.84e+01
  684008 |  4.09e-04 |     -- |  5.24e+00 |  7.09e+00 |     -- |  1.88e+01 |  2.77e+01
  688008 |  4.56e-04 |     -- |  6.51e+00 |  8.39e+00 |     -- |  1.94e+01 |  2.90e+01
  692008 |  4.52e-04 |     -- |  6.31e+00 |  8.14e+00 |     -- |  1.94e+01 |  2.89e+01
  696008 |  4.33e-04 |     -- |  4.87e+00 |  6.43e+00 |     -- |  1.97e+01 |  2.87e+01
  700008 |  4.40e-04 |     -- |  6.38e+00 |  8.38e+00 |     -- |  1.92e+01 |  2.85e+01
  704008 |  4.80e-04 |     -- |  4.91e+00 |  6.45e+00 |     -- |  2.00e+01 |  3.03e+01
  708008 |  4.56e-04 |     -- |  6.19e+00 |  7.84e+00 |     -- |  1.94e+01 |  2.91e+01
  712008 |  4.64e-04 |     -- |  5.60e+00 |  7.39e+00 |     -- |  2.00e+01 |  2.96e+01
  716008 |  4.90e-04 |     -- |  5.68e+00 |  7.38e+00 |     -- |  2.05e+01 |  3.04e+01
